year,variable,mean,median,std,min,max,p25,p75,n
2011,Lev,1.0566,0.7489,1.2791,0.0403,8.3561,0.362,1.1785,2418
2011,SL,0.241,0.1298,0.3201,0.0,1.7725,0.0046,0.3465,2418
2011,LL,0.8139,0.5294,1.1066,0.0335,7.3452,0.2493,0.8622,2418
2011,SDR,0.2166,0.1695,0.209,0.0,0.7952,0.0098,0.3596,2418
2011,Cash,0.527,0.4113,0.6185,0.0014,4.4783,0.1722,0.6862,2417
2011,ROA,-0.112,0.1797,2.11,-18.4205,1.5362,0.0908,0.3047,2418
2011,ROE,0.0961,0.208,0.9376,-6.9057,2.7667,0.1309,0.3151,2418
2011,Top1,36.3022,34.4609,15.6383,2.1969,89.4086,23.9225,47.4766,2257
2011,HHI5,0.1751,0.1506,0.1226,0.0123,0.5709,0.0786,0.2449,2257
2011,Size,21.0992,20.9805,1.3773,14.4861,26.738,20.3227,21.8103,2418
2011,Age,9.1109,9.0,6.4128,-11.0,22.0,2.0,15.0,2309
2012,Lev,1.0655,0.7539,1.2696,0.0527,8.3932,0.3892,1.183,2547
2012,SL,0.2441,0.1261,0.3246,0.0,1.7364,0.0015,0.3626,2547
2012,LL,0.825,0.5358,1.1334,0.043,8.0428,0.2865,0.8671,2547
2012,SDR,0.211,0.1617,0.2087,0.0,0.7852,0.0024,0.3599,2547
2012,Cash,0.5275,0.4089,0.5929,0.0003,4.1748,0.1804,0.6722,2547
2012,ROA,0.0603,0.2065,1.1332,-8.7582,1.606,0.1071,0.3316,2547
2012,ROE,0.0815,0.2244,0.9379,-7.2822,1.6193,0.1364,0.3238,2547
2012,Top1,36.4784,34.6873,15.6644,2.1969,89.4086,24.0072,47.7285,2414
2012,HHI5,0.1769,0.1493,0.1235,0.0128,0.5814,0.0812,0.2474,2414
2012,Size,21.1555,21.03,1.3518,15.0346,26.9809,20.32,21.871,2547
2012,Age,9.6212,9.0,6.5756,-10.0,23.0,3.0,16.0,2439
2013,Lev,1.0562,0.7806,1.1094,0.065,7.1655,0.4284,1.1875,2601
2013,SL,0.2442,0.1397,0.3066,0.0,1.6167,0.0088,0.3646,2601
2013,LL,0.8145,0.5594,0.9735,0.057,6.7687,0.3255,0.8807,2601
2013,SDR,0.2144,0.1741,0.2044,0.0,0.7511,0.0161,0.3535,2601
2013,Cash,0.4972,0.3836,0.5277,0.0,3.3914,0.1626,0.6482,2601
2013,ROA,0.1519,0.2265,0.7659,-5.0485,1.7653,0.1091,0.3683,2601
2013,ROE,0.0155,0.2436,1.3227,-10.4505,0.7258,0.1395,0.3472,2601
2013,Top1,35.9489,34.0565,15.6281,2.1969,89.4086,23.6197,46.7052,2427
2013,HHI5,0.1717,0.1413,0.1221,0.0136,0.5745,0.0766,0.241,2427
2013,Size,21.2293,21.0846,1.3665,15.5773,27.1474,20.3601,21.9624,2601
2013,Age,10.3337,10.0,6.7491,-9.0,24.0,4.0,17.0,2493
2014,Lev,1.0759,0.771,1.1671,0.0702,7.8588,0.4706,1.1888,2762
2014,SL,0.2291,0.1353,0.2818,0.0,1.4507,0.0119,0.3356,2761
2014,LL,0.8351,0.5678,0.9775,0.0601,6.647,0.3444,0.8946,2761
2014,SDR,0.2073,0.1676,0.1949,0.0,0.7295,0.0203,0.3397,2761
2014,Cash,0.4903,0.3711,0.5532,0.0004,3.8855,0.1582,0.6132,2760
2014,ROA,0.164,0.2425,0.8401,-5.9202,1.8965,0.1101,0.3953,2762
2014,ROE,0.0883,0.2571,0.9789,-7.5274,0.7571,0.1356,0.3665,2762
2014,Top1,35.3077,33.3521,15.3488,2.1969,89.4086,23.2188,45.4524,2550
2014,HHI5,0.1656,0.1352,0.1188,0.0123,0.5717,0.0737,0.2295,2550
2014,Size,21.2626,21.1419,1.4152,14.9416,27.2989,20.4262,22.0205,2762
2014,Age,10.5463,9.0,7.2623,-9.0,25.0,5.0,18.0,2654
2015,Lev,1.0283,0.7494,1.0828,0.0756,6.8502,0.45,1.1239,3053
2015,SL,0.2226,0.1269,0.2878,0.0,1.5587,0.0077,0.3107,3050
2015,LL,0.7965,0.5551,0.8938,0.0688,5.8601,0.3386,0.8559,3050
2015,SDR,0.2033,0.1591,0.1951,0.0,0.7509,0.0114,0.3396,3050
2015,Cash,0.4957,0.3725,0.5229,0.0,3.2441,0.1656,0.621,3053
2015,ROA,0.2083,0.2427,0.6031,-3.4242,1.9407,0.1033,0.4061,3053
2015,ROE,0.1284,0.2492,0.6831,-4.7767,0.7008,0.1234,0.3632,3053
2015,Top1,34.3913,32.5559,14.9918,0.2863,89.9858,22.6678,44.4318,2761
2015,HHI5,0.1589,0.1317,0.1137,0.0123,0.5576,0.0721,0.2158,2761
2015,Size,21.2658,21.1888,1.4552,15.7417,27.4477,20.4033,22.0815,3053
2015,Age,10.2227,9.0,7.9884,-8.0,26.0,5.0,18.0,2946
2016,Lev,0.947,0.7005,0.9878,0.0819,6.7576,0.4163,1.0524,3377
2016,SL,0.1858,0.0952,0.2524,0.0,1.3394,0.0001,0.2681,3367
2016,LL,0.7505,0.5443,0.7924,0.0744,5.2668,0.3288,0.8341,3367
2016,SDR,0.1774,0.1313,0.181,0.0,0.6843,0.0002,0.2945,3367
2016,Cash,0.4886,0.3723,0.4989,0.0014,3.0425,0.1712,0.616,3366
2016,ROA,0.2378,0.2529,0.5233,-2.7316,1.7505,0.1228,0.421,3377
2016,ROE,0.1504,0.2623,0.6488,-4.6309,0.7072,0.1385,0.3721,3377
2016,Top1,33.6713,31.6022,14.7664,4.1514,89.093,22.0026,43.4302,2975
2016,HHI5,0.1541,0.1258,0.11,0.014,0.5446,0.07,0.2088,2975
2016,Size,21.3423,21.3049,1.4804,14.8429,27.7353,20.4328,22.1766,3377
2016,Age,10.0902,8.0,8.3151,-7.0,27.0,3.0,18.0,3270
2017,Lev,0.9026,0.6897,0.8777,0.0963,5.8868,0.4018,1.0259,3762
2017,SL,0.2549,0.1771,0.276,0.001,1.6178,0.07,0.3378,2814
2017,LL,0.7756,0.5892,0.7252,0.1074,4.7769,0.383,0.8668,2814
2017,SDR,0.2469,0.2263,0.1731,0.002,0.7122,0.1011,0.3625,2814
2017,Cash,0.4805,0.3804,0.4716,0.0023,2.9605,0.1873,0.6058,3747
2017,ROA,0.2449,0.2644,0.5179,-2.7794,1.6212,0.1427,0.4228,3762
2017,ROE,0.1773,0.2764,0.5912,-4.1244,0.7377,0.1652,0.383,3762
2017,Top1,33.6924,31.6,14.5732,4.1456,89.093,22.3806,43.0408,3399
2017,HHI5,0.1556,0.1296,0.109,0.0158,0.5469,0.0746,0.2084,3399
2017,Size,21.4023,21.3354,1.4517,15.1957,27.7622,20.4718,22.212,3762
2017,Age,9.9811,8.0,8.4842,-6.0,28.0,3.0,18.0,3655
2018,Lev,0.9601,0.7296,0.9468,0.0996,6.325,0.4504,1.0724,3853
2018,SL,0.255,0.1868,0.2583,0.0012,1.4614,0.0736,0.343,2999
2018,LL,0.8179,0.6017,0.8137,0.1068,5.4937,0.3987,0.8972,2999
2018,SDR,0.2477,0.2246,0.1734,0.0019,0.7291,0.1027,0.3618,2999
2018,Cash,0.4847,0.3627,0.5191,0.0013,3.2954,0.1782,0.5968,3837
2018,ROA,0.1947,0.2759,0.7394,-4.7277,1.5776,0.13,0.4474,3853
2018,ROE,0.0928,0.2929,1.0593,-8.0145,0.7828,0.1657,0.4014,3853
2018,Top1,33.5364,31.1772,14.582,3.0029,89.093,22.3742,42.8615,3489
2018,HHI5,0.1546,0.1271,0.109,0.0156,0.5462,0.0739,0.2074,3489
2018,Size,21.4586,21.3883,1.4642,15.353,27.94,20.5372,22.2788,3853
2018,Age,10.6886,9.0,8.5337,-5.0,29.0,3.0,19.0,3748
2019,Lev,0.9669,0.723,0.9743,0.0849,6.5649,0.4355,1.0917,4050
2019,SL,0.2437,0.1654,0.2573,0.0004,1.3983,0.0656,0.3357,3158
2019,LL,0.8412,0.6165,0.8451,0.1047,5.7166,0.4037,0.913,3158
2019,SDR,0.231,0.2049,0.169,0.0008,0.7011,0.0905,0.3407,3158
2019,Cash,0.5017,0.3562,0.5772,0.0011,3.8271,0.174,0.6117,4034
2019,ROA,0.1567,0.2798,0.9254,-6.1999,1.6384,0.1254,0.4696,4050
2019,ROE,0.0801,0.3021,1.0896,-7.7985,0.9917,0.1625,0.4226,4050
2019,Top1,32.9926,30.4173,14.6299,3.0029,88.2353,21.7459,42.4973,3669
2019,HHI5,0.1512,0.1206,0.1087,0.0155,0.5297,0.0697,0.2056,3669
2019,Size,21.488,21.3927,1.4512,15.9723,28.0105,20.5917,22.2791,4050
2019,Age,11.0887,10.0,8.6483,-4.0,30.0,4.0,19.0,3948
2020,Lev,0.9062,0.684,0.8708,0.077,5.4516,0.4035,1.045,4500
2020,SL,0.2196,0.144,0.2423,0.0006,1.2977,0.0473,0.2996,3485
2020,LL,0.8101,0.6001,0.7637,0.0873,4.8608,0.3916,0.899,3485
2020,SDR,0.2132,0.1822,0.1644,0.0011,0.702,0.0778,0.3151,3485
2020,Cash,0.5022,0.3677,0.5267,0.0023,3.272,0.1887,0.6302,4479
2020,ROA,0.1743,0.2826,0.7909,-4.6245,1.7468,0.1299,0.4629,4500
2020,ROE,0.0685,0.3037,1.181,-8.9036,0.9945,0.1684,0.429,4500
2020,Top1,32.4932,29.9986,14.6978,2.8657,89.991,21.302,41.5473,4044
2020,HHI5,0.148,0.1166,0.109,0.0133,0.5279,0.0665,0.1983,4044
2020,Size,21.5248,21.3973,1.403,16.0952,28.0869,20.6406,22.2633,4500
2020,Age,10.8689,10.0,8.8867,-3.0,31.0,4.0,19.0,4401
2021,Lev,0.9017,0.68,0.8619,0.0728,5.3309,0.4,1.0545,4916
2021,SL,0.1998,0.1295,0.2215,0.0006,1.1926,0.0441,0.27,3640
2021,LL,0.8414,0.6295,0.7799,0.1129,4.9061,0.4057,0.9446,3640
2021,SDR,0.1971,0.1674,0.1569,0.001,0.6756,0.0668,0.2912,3640
2021,Cash,0.5319,0.3965,0.5761,0.0045,3.862,0.2047,0.6516,4899
2021,ROA,0.1671,0.2822,0.8211,-5.0515,1.645,0.1279,0.4589,4916
2021,ROE,0.0193,0.3023,1.3904,-10.4334,0.8448,0.1677,0.4279,4916
2021,Top1,32.3912,29.9787,14.8329,2.4307,89.991,21.2588,41.6363,4582
2021,HHI5,0.1476,0.1159,0.1103,0.0129,0.5491,0.0655,0.201,4582
2021,Size,21.5796,21.4226,1.3812,16.0354,28.1699,20.6701,22.3048,4916
2021,Age,10.8581,8.0,9.0334,-2.0,32.0,3.0,18.0,4820
2022,Lev,0.8862,0.671,0.8537,0.0676,5.2789,0.3779,1.044,5181
2022,SL,0.1883,0.116,0.2202,0.0003,1.2293,0.0392,0.2565,3963
2022,LL,0.8202,0.6176,0.7542,0.0889,4.7186,0.3832,0.9358,3963
2022,SDR,0.1894,0.1514,0.1566,0.0005,0.6627,0.0612,0.2832,3963
2022,Cash,0.5469,0.4142,0.542,0.0049,3.4269,0.2184,0.6889,5168
2022,ROA,0.1813,0.2811,0.7372,-3.9929,1.6812,0.1236,0.4653,5181
2022,ROE,0.0521,0.2994,1.1897,-8.7421,0.8592,0.1552,0.4291,5181
2022,Top1,32.151,29.8,14.7863,1.8438,89.991,20.9607,41.4456,4961
2022,HHI5,0.1455,0.1145,0.1092,0.0117,0.5314,0.0643,0.1988,4961
2022,Size,21.6377,21.4652,1.3505,17.2158,28.2595,20.7388,22.3555,5181
2022,Age,11.1144,8.0,9.1194,-1.0,33.0,3.0,17.0,5089
2023,Lev,0.9052,0.6739,0.8821,0.0621,5.325,0.3752,1.0637,5342
2023,SL,0.183,0.1077,0.2185,0.0003,1.1969,0.0363,0.2475,4111
2023,LL,0.851,0.6326,0.7957,0.0885,4.8217,0.3893,0.9735,4111
2023,SDR,0.1805,0.142,0.1535,0.0006,0.6618,0.0559,0.2722,4111
2023,Cash,0.5828,0.44,0.5762,0.0059,3.5974,0.2334,0.7273,5330
2023,ROA,0.1793,0.2882,0.7908,-4.3797,1.8874,0.1199,0.4815,5342
2023,ROE,0.0309,0.2945,1.1954,-8.4518,0.8244,0.1459,0.428,5342
2023,Top1,32.036,29.6694,14.9502,1.8464,89.991,20.7349,41.3424,5224
2023,HHI5,0.1448,0.1134,0.1105,0.0108,0.538,0.0631,0.1987,5224
2023,Size,21.6486,21.4641,1.3257,16.5835,28.3484,20.7741,22.3624,5342
2023,Age,11.6033,9.0,9.1876,0.0,34.0,4.0,17.0,5251
2024,Lev,0.9394,0.6914,0.9105,0.0741,5.3664,0.4019,1.0887,5384
2024,SL,0.1889,0.1139,0.2251,0.0002,1.2498,0.0342,0.2588,4199
2024,LL,0.8797,0.6373,0.8346,0.0965,5.0048,0.4027,1.001,4199
2024,SDR,0.1794,0.1419,0.1546,0.0005,0.6597,0.0521,0.2694,4199
2024,Cash,0.6025,0.4495,0.6059,0.006,3.7133,0.2346,0.7444,5369
2024,ROA,0.1563,0.2922,0.887,-4.9858,1.835,0.106,0.496,5384
2024,ROE,-0.0668,0.299,1.6529,-12.1667,0.8368,0.1302,0.4354,5384
2024,Size,21.6356,21.4416,1.3234,17.8297,28.4547,20.7546,22.3545,5384
2024,Age,12.4996,9.0,9.1615,0.0,35.0,5.0,18.0,5204
